priority_tier,county,source_result_key,pair_count,example_target_polygon_key,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3,score_gap_1_2
manual_hard,York,York - Clover No. 1,4,York - Bethel School,York - York No. 1,0.8333,York - Clover,0.8125,York - York No. 2,0.7778,0.0208
manual_hard,York,York - Clover No. 2,3,York - Clover,York - York No. 2,0.8333,York - Clover,0.8125,York - York No. 1,0.7778,0.0208
manual_hard,Greenwood,Greenwood - Greenwood No. 6,3,Greenwood - Hopes Ferry,Greenwood - Greenwood High,0.8302,Greenwood - Greenwood Mill,0.8302,Greenwood - Stonewood,0.7083,0.0000
manual_medium,Edgefield,Edgefield - Trenton,2,Edgefield - Trenton No. 1,Edgefield - Trenton No.1,0.8837,Edgefield - Trenton No.2,0.8837,Edgefield - Brunson,0.8421,0.0000
manual_hard,Aiken,Aiken - Ascauga Lake,2,Aiken - Ascauga Lake No. 63,Aiken - Ascauga Lake No. 63,0.8511,Aiken - Ascauga Lake No. 84,0.8511,Aiken - Misty Lakes,0.7179,0.0000
manual_hard,Aiken,Aiken - Gem Lakes,2,Aiken - Gem Lakes No. 60,Aiken - Misty Lakes,0.8333,Aiken - Gem Lakes No. 60,0.8293,Aiken - Gem Lakes No. 77,0.8293,0.0040
manual_hard,Aiken,Aiken - Hammond,2,Aiken - Hammond No. 48,Aiken - Hammond No. 48,0.8108,Aiken - Hammond No. 81,0.8108,Aiken - Ward,0.7407,0.0000
manual_hard,Aiken,Aiken - Levels,2,Aiken - Levels No. 52,Aiken - Levels No. 52,0.8000,Aiken - Levels No. 72,0.8000,Aiken - Levels No. 83,0.8000,0.0000
manual_hard,Pickens,Pickens - Park Street,2,Pickens - Fruit Mountain,Pickens - Praters Creek,0.7727,Pickens - Pike,0.7429,Pickens - Rices Creek,0.7143,0.0298
manual_medium,Berkeley,Berkeley - Goose Creek 1,1,Berkeley - Foster Creek 1,Berkeley - Foster Creek 1,0.8980,Berkeley - Foster Creek 2,0.8571,Berkeley - Foster Creek 3,0.8571,0.0409
manual_medium,Berkeley,Berkeley - Goose Creek 2,1,Berkeley - Foster Creek 2,Berkeley - Foster Creek 2,0.8980,Berkeley - Foster Creek 1,0.8571,Berkeley - Foster Creek 3,0.8571,0.0409
manual_medium,Berkeley,Berkeley - Goose Creek 3,1,Berkeley - Foster Creek 3,Berkeley - Foster Creek 3,0.8980,Berkeley - Foster Creek 1,0.8571,Berkeley - Foster Creek 2,0.8571,0.0409
manual_medium,Florence,Florence - Florence 10,1,Florence - Florence Ward 10,Florence - Florence Ward 10,0.8980,Florence - Florence Ward 1,0.8750,Florence - West Florence 1,0.8750,0.0230
manual_medium,Florence,Florence - Florence 11,1,Florence - Florence Ward 11,Florence - Florence Ward 11,0.8980,Florence - Florence Ward 1,0.8750,Florence - West Florence 1,0.8750,0.0230
